alignment_id	left_source	left_term_iri	left_label	left_definition	left_comment	left_example	right_source	right_term_iri	right_label	right_definition	right_comment	right_example	ols_term_api_url	normalized_left_label	normalized_right_label	match_method	match_score	relation	suggestion_source	canonical_from	canonical_term_iri	canonical_term_label	canonical_term_source	ols_search_url	bioportal_search_url	status	curator	reviewer	date_added	date_reviewed	notes
ALIGN_0001	EMI	https://w3id.org/emi#Aliquot	Aliquot		A sample taken from an extract sample for chemical analysis or other treatment.		chmo	http://purl.obolibrary.org/obo/CHMO_0001786	RapidFire(R) mass spectrometry	Mass spectrometry, developed by BioTrove, which uses microfluidics to aspirate an aliquot of sample directly from a quenched assay plate and performs a solid-phase extraction on the sample before ionisation.			https://www.ebi.ac.uk/ols4/api/ontologies/chmo/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCHMO_0001786	aliquot	rapid fire mass spectrometry	ols_api_top	0.23	related	manual_curated	manual	http://purl.obolibrary.org/obo/NCIT_C25414	Aliquot	ncit	https://www.ebi.ac.uk/ols4/search?q=Aliquot	https://bioportal.bioontology.org/search?query=Aliquot	approved	auto	pma	2026-02-11T00:06:02Z	2026-02-11T00:14:37Z	Approved after manual review.
ALIGN_0002	EMI	https://w3id.org/emi#Analysis	Analysis		Any analysis performed over a sample.	@prefix : <https://w3id.org/emi/abox#> .\n@prefix emi: <https://w3id.org/emi#> .\n:VGF138_A02_neg.mzXML rdf:type emi:Analysis .	ms	http://purl.obolibrary.org/obo/MS_1001456	analysis software	Analysis software.			https://www.ebi.ac.uk/ols4/api/ontologies/ms/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FMS_1001456	analysis	analysis software	ols_api_top	0.64	related	manual_curated	right	http://purl.obolibrary.org/obo/MS_1001456	analysis software	ms	https://www.ebi.ac.uk/ols4/search?q=Analysis	https://bioportal.bioontology.org/search?query=Analysis	approved	auto	pma	2026-02-11T00:06:02Z	2026-02-11T00:14:52Z	Approved after manual review.
ALIGN_0003	EMI	https://w3id.org/emi#AnatomicalEntity	Anatomical entity		An anatomical entity can be an organism part (e.g. brain, blood, liver and so on) or a material anatomical entity such as a cell.		obi	http://purl.obolibrary.org/obo/UBERON_0001062	anatomical entity	Biological entity that is either an individual member of a biological species or constitutes the structural organization of an individual member of a biological species.			https://www.ebi.ac.uk/ols4/api/ontologies/obi/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0001062	anatomical entity	anatomical entity	ols_api_top	1.00	exact	manual_curated	right	http://purl.obolibrary.org/obo/UBERON_0001062	anatomical entity	obi	https://www.ebi.ac.uk/ols4/search?q=Anatomical+entity	https://bioportal.bioontology.org/search?query=Anatomical+entity	approved	auto	pma	2026-02-11T00:06:02Z	2026-02-11T00:14:59Z	Approved after manual review.
ALIGN_0004	EMI	https://w3id.org/emi#BioAssayResults	Bioassay result		An object to store bioactivity results.		edam	http://edamontology.org/format_3157	EBI Application Result XML	EBI Application Result XML is a format returned by sequence similarity search Web services at EBI.			https://www.ebi.ac.uk/ols4/api/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Fformat_3157	bioassay result	ebi application result xml	ols_api_top	0.49	related	manual_curated	left	https://w3id.org/emi#BioAssayResults	Bioassay result	EMI	https://www.ebi.ac.uk/ols4/search?q=Bioassay+result	https://bioportal.bioontology.org/search?query=Bioassay+result	approved	auto	pma	2026-02-11T00:06:02Z	2026-02-11T00:15:05Z	Approved after manual review.
