ontology	label	description	url	homepage_url	ols_url	ontology_iri	version_iri	last_loaded
emi	The Earth Metabolome Initiative (EMI) ontology	The Earth Metabolome Initiative (EMI) ontology is designed to capture and structure the metabolic content of all currently known species on our planet.	https://w3id.org/emi	https://w3id.org/emi	https://www.ebi.ac.uk/ols4/ontologies/emi	emi	https://w3id.org/emi/version/1.0	2026-03-01T05:10:54.135478509
enm	eNanoMapper ontology	The eNanoMapper project (https://www.enanomapper.net/), NanoCommons project (https://www.nanocommons.eu/) and ACEnano project (http://acenano-project.eu/) are creating a pan-European computational infrastructure for toxicological data management for ENMs, based on semantic web standards and ontologies. This ontology is an application ontology targeting the full domain of nanomaterial safety assessment. It re-uses several other ontologies including the NPO, CHEMINF, ChEBI, and ENVO.	http://www.enanomapper.net/	http://www.enanomapper.net/	https://www.ebi.ac.uk/ols4/ontologies/enm	enm	http://enanomapper.github.io/ontologies/releases/10.0/enanomapper.owl	2026-03-01T05:22:00.339235490
ensemblglossary	Ensembl Glossary	The Ensembl glossary lists the terms, data types and file types that are used in Ensembl and describes how they are used.	http://ensembl.org/glossary	http://ensembl.org/glossary	https://www.ebi.ac.uk/ols4/ontologies/ensemblglossary	ensemblglossary	http://ensembl.org/glossary/ensembl-glossary/releases/2023-01-04/ensembl-glossary.owl	2026-03-01T05:17:04.144331388
envo	The Environment Ontology	ENVO is an ontology which represents knowledge about environments,environmental processes, ecosystems, habitats, and related entities	http://environmentontology.org/	http://environmentontology.org/	https://www.ebi.ac.uk/ols4/ontologies/envo	envo	http://purl.obolibrary.org/obo/envo/releases/2025-10-20/envo.owl	2026-03-01T04:41:31.676218917
epio	Epilepsy Ontology (EPIO)	"The Epilepsy Ontology (EPIO) is an assembly of structured knowledge on various aspects of epilepsy, developed according to basic formal ontology (BFO) and Open Biological and Biomedical Ontology (OBO) Foundry principles. Entities and definitions are collected from the latest International League against Epilepsy (ILAE) classification, as well as from domain-specific ontologies such as Epilepsy Ontology (EPILONT), Epilepsy Syndrome Seizure Ontology (ESSO), Epilepsy Semiology(EPISEM) and Epilepsy and Seizure Ontology (EPSO) and scientific literature.

This ontology is intended to be used  for data management and for text mining purposes. The current release of the ontology is publicly available and is a community based effort to assemble various facets of the complex disease Epilepsy."	https://github.com/SCAI-BIO/EpilepsyOntology	https://github.com/SCAI-BIO/EpilepsyOntology	https://www.ebi.ac.uk/ols4/ontologies/epio	epio	https://bio.scai.fraunhofer.de/ontology/epilepsy/2021-05-28/EPIO.owl	2026-03-01T04:41:33.061741786
eupath	VEuPathDB Ontology	The VEuPathDB ontology is an application ontology developed to encode our understanding of what data is about in the public resources developed and maintained by the Eukaryotic Pathogen, Host and Vector Genomics Resource (VEuPathDB; https://veupathdb.org). The VEuPathDB ontology was previously named the EuPathDB ontology prior to EuPathDB joining with VectorBase.The ontology was built based on the Ontology of Biomedical Investigations (OBI) with integration of other OBO ontologies such as PATO, OGMS, DO, etc. as needed for coverage. Currently the VEuPath ontology is primarily intended to be used for support of the VEuPathDB sites. Terms with VEuPathDB ontology IDs that are not specific to VEuPathDB will be submitted to OBO Foundry ontologies for subsequent import and replacement of those terms when they are available.	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology	https://www.ebi.ac.uk/ols4/ontologies/eupath	eupath	http://purl.obolibrary.org/obo/eupath/2023-05-30/eupath.owl	2026-03-01T05:09:15.023311708
evorao	evorao		https://www.ebi.ac.uk/ols4/ontologies/evorao		https://www.ebi.ac.uk/ols4/ontologies/evorao	evorao		2026-03-01T05:10:23.090278887
exmo	EXMO	A core reference ontology built upon BFO about exercise medicine. This ontology contains the related terms for healthy people, people with chronic conditions and people living with diability to exercise.	https://github.com/Exercise-Medicine-Ontology/EXMO	https://github.com/Exercise-Medicine-Ontology/EXMO	https://www.ebi.ac.uk/ols4/ontologies/exmo	exmo	http://purl.obolibrary.org/obo/exmo/2025-06-05/exmo.owl	2026-03-01T04:41:33.504269568
exo	Exposure ontology (ExO)	ExO is intended to bridge the gap between exposure science and diverse environmental health disciplines including toxicology, epidemiology, disease surveillance, and epigenetics.	https://github.com/CTDbase/exposure-ontology	https://github.com/CTDbase/exposure-ontology	https://www.ebi.ac.uk/ols4/ontologies/exo	exo	http://purl.obolibrary.org/obo/exo/releases/2025-08-29/exo.owl	2026-03-01T04:41:33.717606692
fao	Fungal gross anatomy	A structured controlled vocabulary for the anatomy of fungi.	https://github.com/obophenotype/fungal-anatomy-ontology/	https://github.com/obophenotype/fungal-anatomy-ontology/	https://www.ebi.ac.uk/ols4/ontologies/fao	fao	http://purl.obolibrary.org/obo/fao/releases/2025-07-15/fao.owl	2026-03-01T04:41:33.809039748
fbbi	Biological Imaging Methods Ontology	A structured controlled vocabulary of sample preparation, visualization and imaging methods used in biomedical research.	http://cellimagelibrary.org/	http://cellimagelibrary.org/	https://www.ebi.ac.uk/ols4/ontologies/fbbi	fbbi	http://purl.obolibrary.org/obo/fbbi/releases/2026-01-23/fbbi.owl	2026-03-01T05:09:15.879034934
fbbt	Drosophila gross anatomy	An ontology representing the gross anatomy of Drosophila melanogaster.	http://purl.obolibrary.org/obo/fbbt	http://purl.obolibrary.org/obo/fbbt	https://www.ebi.ac.uk/ols4/ontologies/fbbt	fbbt	http://purl.obolibrary.org/obo/fbbt/releases/2026-01-13/fbbt.owl	2026-03-01T04:41:40.272661808
fbcv	FlyBase Controlled Vocabulary	A structured controlled vocabulary used for various aspects of annotation by FlyBase.	http://purl.obolibrary.org/obo/fbcv	http://purl.obolibrary.org/obo/fbcv	https://www.ebi.ac.uk/ols4/ontologies/fbcv	fbcv	http://purl.obolibrary.org/obo/fbcv/releases/2026-01-13/fbcv.owl	2026-03-01T04:41:52.057073144
fbdv	Drosophila development	A structured controlled vocabulary of the development of Drosophila melanogaster.	http://purl.obolibrary.org/obo/fbdv	http://purl.obolibrary.org/obo/fbdv	https://www.ebi.ac.uk/ols4/ontologies/fbdv	fbdv	http://purl.obolibrary.org/obo/fbdv/releases/2026-01-13/fbdv.owl	2026-03-01T04:41:52.585716393
flopo	Flora Phenotype Ontology	Traits and phenotypes of flowering plants occurring in digitized Floras	https://github.com/flora-phenotype-ontology/flopoontology	https://github.com/flora-phenotype-ontology/flopoontology	https://www.ebi.ac.uk/ols4/ontologies/flopo	flopo		2026-03-01T04:41:56.353043887
fma	Foundational Model of Anatomy Ontology (subset)	This is currently a slimmed down version of FMA	http://si.washington.edu/projects/fma	http://si.washington.edu/projects/fma	https://www.ebi.ac.uk/ols4/ontologies/fma	fma	http://purl.org/sig/ont/fma_5.0.0.owl	2026-03-01T05:09:39.868708460
fobi	Food-Biomarker Ontology	FOBI (Food-Biomarker Ontology) is an ontology to represent food intake data and associate it with metabolomic data	https://github.com/pcastellanoescuder/FoodBiomarkerOntology	https://github.com/pcastellanoescuder/FoodBiomarkerOntology	https://www.ebi.ac.uk/ols4/ontologies/fobi	fobi	http://purl.obolibrary.org/obo/fobi/fobi.owl	2026-03-01T04:42:02.392322413
foodon	Food Ontology	A broadly scoped ontology representing entities which bear a “food role”. It encompasses materials in natural ecosystems and agriculture that are consumed by humans and domesticated animals. This includes any generic (unbranded) raw or processed food material found in processing plants, markets, stores or food distribution points. FoodOn also imports nutritional component and dietary pattern terms from other OBO Foundry ontologies to support interoperability in diet and nutrition research	https://foodon.org/	https://foodon.org/	https://www.ebi.ac.uk/ols4/ontologies/foodon	foodon	http://purl.obolibrary.org/obo/foodon/releases/2025-12-30/foodon.owl	2026-03-01T04:42:04.882219182
fovt	FuTRES Ontology of Vertebrate Traits	These are the terms that are improted for FOVT to describe vertebrate traits.	https://github.com/futres/fovt	https://github.com/futres/fovt	https://www.ebi.ac.uk/ols4/ontologies/fovt	fovt	http://purl.obolibrary.org/obo/fovt/releases/2023-05-31/fovt.owl	2026-03-01T04:42:12.948383316
fypo	Fission Yeast Phenotype Ontology (FYPO)	A formal ontology of phenotypes observed in fission yeast.	https://github.com/pombase/fypo	https://github.com/pombase/fypo	https://www.ebi.ac.uk/ols4/ontologies/fypo	fypo	http://purl.obolibrary.org/obo/fypo/releases/2026-02-25/fypo.owl	2026-03-01T04:42:19.282415931
